maven路径:     com.thoughtworks.xstream    包名:     xstream-java7.jar    版本号:   1.4.11.1
maven路径:     tapp.apps    包名:     displayEcontact.aar    版本号:   1.0.1.202002271900
maven路径:     tapp.apps    包名:     logicEcontact.aar    版本号:   1.0.1.202003052050
maven路径:     tapp.platform    包名:     appdal.aar    版本号:   4.1.720-TTR53_X5.202003021401
maven路径:     tapp.platform    包名:     mylog.aar    版本号:   4.1.720-TTR53_X5.202003021401
maven路径:     tapp.services    包名:     eContactsProvider.aar    版本号:   1.0.1.202003061800
maven路径:     tapp.services    包名:     lbsapi.aar    版本号:   4.1.720-TTR53_X5.202003021401
maven路径:     tapp.services    包名:     lbslib.aar    版本号:   4.1.720-TTR53_X5.202003021401
maven路径:     tapp.services    包名:     smsapi.aar    版本号:   4.1.720.202002261830
maven路径:     tapp.services    包名:     smslib.aar    版本号:   4.1.720.202002261830
maven路径:     tms    包名:     corelib.aar    版本号:   1.0.1.202002261110
maven路径:     tms    包名:     dclib.aar    版本号:   1.0.1.202002261955
maven路径:     tms    包名:     mdmclient.aar    版本号:   1.0.1.200304191942
maven路径:     tms    包名:     tAppFrmLib.aar    版本号:   1.0.1.202002261955
maven路径:     tms    包名:     tmsapi.aar    版本号:   1.0.1.202002261955
maven路径:     tms    包名:     tms-http-plt.aar    版本号:   1.0.1.202002261955
maven路径:     tms    包名:     tmsplt.aar    版本号:   1.0.1.202002261955
maven路径:     tms    包名:     tms-support.aar    版本号:   1.0.1.202002261110
